threshold,logit_accuracy,logit_precision,logit_recall,logit_fpr,rf_accuracy,rf_precision,rf_recall,rf_fpr,xg_accuracy,xg_precision,xg_recall,xg_fpr,nn_accuracy,nn_precision,nn_recall,nn_fpr
0.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0,0.21072964399013042,1.0
0.05,0.3145294324991188,0.9919376421785093,0.23412873882694799,0.866333803747834,0.3234332040888262,0.99605245550649,0.23700319198898326,0.8561514139230784,0.36684525907648924,0.9890940719925063,0.24834317488849503,0.7992908054806267,0.3435530489954177,0.9871872072795397,0.2413962353672603,0.8282927526393826
0.1,0.48265773704617554,0.9269704268700656,0.28014073257777194,0.6359706318440843,0.4246105040535777,0.9618627057406663,0.2632219791084948,0.7188320620232587,0.4925978145928798,0.9358356750970159,0.2853587130601544,0.6257435824148341,0.496559746210786,0.9224207145724609,0.28523694745880185,0.6171421425891852
0.15000000000000002,0.6087557278815651,0.821189615950756,0.3286077643908969,0.447962628842959,0.5460486429326754,0.8821089254650074,0.3022570698212914,0.5436770931956627,0.6025731406415228,0.8498929479459387,0.3286843569275355,0.46345951160256527,0.6090306661966867,0.8297872340425532,0.32995011639507815,0.449909787598921
0.2,0.6902996122664786,0.7074802622775325,0.3753971775982959,0.3142875006698941,0.6436376454000705,0.7753914090726616,0.34586802757632734,0.3915396845245539,0.6817835741980965,0.7501672688344707,0.3731425243364673,0.33647439218278286,0.6847303489601692,0.7267830857754584,0.3727757854458724,0.326497436538702
0.25,0.7422629538244625,0.599290780141844,0.4215455572289157,0.21956447953696923,0.7186746563271061,0.6403385521209688,0.3963268179559384,0.26041015380767785,0.7354670426506873,0.6436504750434899,0.4172449687716863,0.2400185783954697,0.7365174480084596,0.6213702662919844,0.4161681342564585,0.23273906286285928
0.30000000000000004,0.7733168840324286,0.4997992773986351,0.4647979342314034,0.15365583522392323,0.7671201973916109,0.4987622106249164,0.4523361650485437,0.16123010414619765,0.7710539302079662,0.5446607788036933,0.46323905992147046,0.16850068775790916,0.7697003877335213,0.5209755118426335,0.45908260126171807,0.16389181657407237
0.35000000000000003,0.7898977793443779,0.40867121637896425,0.5018280409152528,0.10831740474106366,0.7913288685230878,0.3759199785895892,0.5065819132630061,0.0977598742385537,0.7923933732816355,0.44864846781747625,0.5083968308123886,0.11582915021704565,0.7887980260838914,0.42804094741067844,0.4986943134427252,0.11488236660176132
0.4,0.800317236517448,0.3342031312725813,0.5425514582088742,0.07523356973150641,0.8015227352837504,0.2770975511842633,0.5586053412462908,0.05845942228335621,0.8032569615791328,0.3622373879298809,0.5504270028466857,0.07899390842994691,0.8000634473034895,0.34648066372273517,0.5399051243288329,0.07883313385376656
0.45,0.805421219598167,0.2700053526027031,0.5827016099920583,0.051626502795691254,0.804709199859006,0.18898032918506624,0.6202239789196311,0.030895514389324585,0.8078463165315474,0.28572862304295465,0.591195403890081,0.052751924828953745,0.8059005992245329,0.2770640974173692,0.5830341429074269,0.0529037674842352
0.5,0.8071342967923864,0.2154422587983407,0.6224627875507442,0.03488808303113666,0.8026083891434614,0.11324100093670547,0.6939319393193932,0.01333535790207041,0.8086570320761368,0.2218988358089121,0.6307531380753139,0.034682648850461795,0.8073598872047938,0.21724876221062492,0.6231049702552294,0.03508458529091263
0.55,0.8066267183644695,0.16827244747758596,0.6620163200842327,0.022937172868397027,0.7978498413817413,0.05673758865248227,0.7797701149425287,0.004278390110577179,0.808198801550934,0.16874080021410412,0.6813454005133054,0.021070401400525185,0.8068946069792033,0.16793790980864445,0.6657824933687002,0.022508440665249485
0.6000000000000001,0.8051110327811069,0.12943262411347517,0.7046075396102713,0.014487575698029609,0.7932111385266126,0.022079486150140507,0.8672798948751642,0.0009021240107897066,0.8060486429326753,0.12602033989027164,0.7308886301901436,0.01238857428678608,0.8051392315826578,0.12762612070119095,0.7092396356200037,0.013969524285892931
0.65,0.8030525202678886,0.09952495651010304,0.7446808510638298,0.009110559316886646,0.7908565385971096,0.008329987956643917,0.9120879120879121,0.00021436610157377078,0.8031300669721537,0.09112806101967082,0.7823090178058587,0.006770396041372639,0.802883327458583,0.09704937775993577,0.7494187548437097,0.0086639632719413
0.7000000000000001,0.8012759957701797,0.07711093269102101,0.7929136566907464,0.005377016381142963,0.7897215368346845,0.002241402381908203,0.9571428571428572,2.679576269670747e-05,0.8003877335213253,0.06550247557875016,0.8371098760153912,0.00340306186248418,0.8008389143461403,0.07343101833266426,0.7984721716987996,0.00494828417799531
0.75,0.7993302784631653,0.05961461260537937,0.8338792700046794,0.0031708319191124934,0.7893267536129714,0.00026763013515321824,1.0,0.0,0.7980331335918224,0.04693563495249565,0.8976327575175944,0.0014291073438253976,0.7987592527317589,0.05583433694634016,0.8378514056224899,0.0028850104503475027
0.8,0.797962636587945,0.04763816405727285,0.881733746130031,0.0017059968916914858,0.7892703560098696,0.0,0.0,0.0,0.7962213605921749,0.035159909005754046,0.9417562724014337,0.0005805748584291059,0.7973704617553754,0.04365716579686873,0.893223819301848,0.0013933796602296766
0.8500000000000001,0.7964540007049701,0.03753512645523886,0.9159183673469388,0.0009199878525876226,0.7892703560098696,0.0,0.0,0.0,0.7950581600281988,0.027833534055934698,0.9869513641755635,9.825112988803841e-05,0.7956009869580543,0.03231633881975111,0.9342359767891683,0.0006073706211258134
0.9,0.7953119492421572,0.029807306302689685,0.9632432432432433,0.0003036853105629067,0.7892703560098696,0.0,0.0,0.0,0.794473034896017,0.024688879967884384,1.0,0.0,0.7936905181529785,0.021611133413622374,0.9714285714285714,0.00016970649707925833
0.9500000000000001,0.7937469157560804,0.02137695704536331,0.9937791601866252,3.572768359560996e-05,0.7892703560098696,0.0,0.0,0.0,0.7943390905886499,0.02405325839689549,1.0,0.0,0.7913570673246387,0.009935768767563228,0.9966442953020134,8.93192089890249e-06
